# ID	x	y	Flux	Bkg	m
1.0000e+00	6.3400e+02	1.4950e+03	2.2527e+06	3.4290e+03	9.4182e+00
2.0000e+00	6.7500e+02	1.9380e+03	1.8706e+06	3.4320e+03	9.6200e+00
3.0000e+00	4.4600e+02	2.3000e+03	2.4233e+06	3.4320e+03	9.3390e+00
4.0000e+00	1.7720e+03	5.7800e+02	2.4121e+06	3.4270e+03	9.3440e+00
5.0000e+00	1.8800e+02	3.9230e+03	1.3138e+06	3.4280e+03	1.0004e+01
6.0000e+00	7.0400e+02	2.2630e+03	1.5668e+06	3.4340e+03	9.8124e+00
7.0000e+00	9.6600e+02	1.6540e+03	1.2806e+06	3.4310e+03	1.0031e+01
8.0000e+00	1.3120e+03	4.4000e+03	2.1996e+06	3.4320e+03	9.4441e+00
9.0000e+00	1.3650e+03	4.3300e+03	1.5526e+06	3.4320e+03	9.8223e+00
1.0000e+01	2.2780e+03	3.8450e+03	1.3713e+06	3.4210e+03	9.9572e+00
1.1000e+01	2.0800e+02	8.4400e+02	1.3218e+06	3.4340e+03	9.9971e+00
1.2000e+01	5.7700e+02	4.3150e+03	7.5398e+05	3.4300e+03	1.0607e+01
1.3000e+01	1.5980e+03	4.6500e+02	9.0085e+05	3.4170e+03	1.0413e+01
1.4000e+01	1.9320e+03	1.5610e+03	7.1538e+05	3.4290e+03	1.0664e+01
1.5000e+01	1.7980e+03	2.8800e+02	8.8239e+05	3.4220e+03	1.0436e+01
1.6000e+01	2.3850e+03	1.0910e+03	7.2346e+05	3.4200e+03	1.0651e+01
1.7000e+01	3.6000e+02	2.4310e+03	9.1430e+05	3.4200e+03	1.0397e+01
1.8000e+01	2.2600e+03	3.2970e+03	2.7474e+06	3.4230e+03	9.2027e+00
1.9000e+01	3.6500e+02	3.5970e+03	8.8703e+05	3.4230e+03	1.0430e+01
2.0000e+01	5.8300e+02	4.2220e+03	5.0395e+05	3.4300e+03	1.1044e+01
2.1000e+01	1.6770e+03	4.4980e+03	4.3229e+05	3.4270e+03	1.1211e+01
2.2000e+01	6.8400e+02	1.7410e+03	5.4761e+05	3.4330e+03	1.0954e+01
2.3000e+01	1.0110e+03	5.0000e+02	5.8298e+05	3.4380e+03	1.0886e+01
2.4000e+01	2.4590e+03	3.2150e+03	2.6102e+05	3.4210e+03	1.1758e+01
2.5000e+01	6.6800e+02	2.3560e+03	4.3916e+05	3.4220e+03	1.1193e+01
2.6000e+01	1.0010e+03	1.6880e+03	3.9313e+05	3.4300e+03	1.1314e+01
2.7000e+01	1.9310e+03	1.6530e+03	3.6922e+05	3.4280e+03	1.1382e+01
2.8000e+01	1.2840e+03	2.3340e+03	3.4428e+05	3.4320e+03	1.1458e+01
2.9000e+01	2.3400e+02	1.6380e+03	4.0328e+05	3.4240e+03	1.1286e+01
3.0000e+01	3.9100e+02	2.5130e+03	2.7454e+05	3.4300e+03	1.1703e+01
3.1000e+01	5.1800e+02	3.5400e+03	2.6512e+05	3.4310e+03	1.1741e+01
3.2000e+01	4.0500e+02	3.7160e+03	4.1789e+05	3.4220e+03	1.1247e+01
3.3000e+01	1.8680e+03	8.2900e+02	6.5488e+05	3.4120e+03	1.0760e+01
3.4000e+01	1.0290e+03	2.5910e+03	2.7476e+05	3.4260e+03	1.1703e+01
3.5000e+01	5.5500e+02	3.3330e+03	2.4540e+05	3.4260e+03	1.1825e+01
3.6000e+01	5.7400e+02	1.1750e+03	6.0567e+05	3.4370e+03	1.0844e+01
3.7000e+01	1.8150e+03	3.2400e+03	1.9145e+05	3.4430e+03	1.2095e+01
3.8000e+01	3.4800e+02	4.2110e+03	1.8448e+05	3.4280e+03	1.2135e+01
3.9000e+01	2.0550e+03	1.5550e+03	1.9270e+05	3.4280e+03	1.2088e+01
4.0000e+01	1.0050e+03	2.3220e+03	2.0471e+05	3.4270e+03	1.2022e+01
4.1000e+01	2.0780e+03	2.8620e+03	1.7407e+05	3.4290e+03	1.2198e+01
4.2000e+01	2.2980e+03	2.2770e+03	5.6567e+05	3.4170e+03	1.0919e+01
4.3000e+01	2.1540e+03	3.6200e+03	1.5512e+05	3.4270e+03	1.2323e+01
4.4000e+01	2.0800e+02	9.4000e+02	2.4265e+05	3.4270e+03	1.1838e+01
4.5000e+01	6.0000e+02	4.4190e+03	1.5949e+05	3.4220e+03	1.2293e+01
4.6000e+01	2.3210e+03	3.6600e+03	1.4831e+05	3.4210e+03	1.2372e+01
4.7000e+01	9.0900e+02	1.4220e+03	1.6188e+05	3.4300e+03	1.2277e+01
4.8000e+01	6.0300e+02	3.8500e+03	1.3976e+05	3.4300e+03	1.2437e+01
4.9000e+01	1.0220e+03	3.1400e+02	3.4000e+04	3.4230e+03	1.3971e+01
5.0000e+01	5.0100e+02	3.9360e+03	1.3160e+05	3.4300e+03	1.2502e+01
5.1000e+01	2.2800e+03	3.9760e+03	1.1358e+05	3.4180e+03	1.2662e+01
5.2000e+01	5.2000e+02	1.2960e+03	1.3534e+05	3.4300e+03	1.2471e+01
5.3000e+01	1.3120e+03	6.1000e+02	1.4397e+05	3.4370e+03	1.2404e+01
5.4000e+01	1.1060e+03	1.8030e+03	1.2294e+05	3.4260e+03	1.2576e+01
5.5000e+01	1.8550e+03	4.4060e+03	1.0741e+05	3.4230e+03	1.2722e+01
5.6000e+01	1.2800e+02	1.4660e+03	1.3421e+05	3.4230e+03	1.2481e+01
5.7000e+01	1.9130e+03	3.2950e+03	1.0256e+05	3.4350e+03	1.2773e+01
5.8000e+01	2.3200e+02	3.1700e+03	1.0747e+05	3.4260e+03	1.2722e+01
5.9000e+01	1.9190e+03	2.4080e+03	9.8531e+04	3.4220e+03	1.2816e+01
6.0000e+01	7.9400e+02	2.3760e+03	1.8372e+05	3.4350e+03	1.2140e+01
6.1000e+01	1.3440e+03	2.6600e+03	1.2843e+05	3.4310e+03	1.2528e+01
6.2000e+01	1.9980e+03	1.7060e+03	7.7575e+04	3.4250e+03	1.3076e+01
6.3000e+01	1.1320e+03	2.6970e+03	2.3961e+05	3.4310e+03	1.1851e+01
6.4000e+01	8.9600e+02	3.0960e+03	8.5010e+04	3.4370e+03	1.2976e+01
6.5000e+01	6.4000e+02	3.3530e+03	5.6026e+05	3.4300e+03	1.0929e+01
6.6000e+01	2.5800e+02	8.3900e+02	1.7159e+05	3.4390e+03	1.2214e+01
6.7000e+01	2.3400e+03	4.2200e+02	2.8515e+05	3.4140e+03	1.1662e+01
6.8000e+01	2.3040e+03	4.1600e+03	6.7419e+04	3.4180e+03	1.3228e+01
6.9000e+01	1.2920e+03	5.0000e+02	6.0605e+05	3.4290e+03	1.0844e+01
7.0000e+01	1.8800e+03	1.7640e+03	7.3431e+04	3.4210e+03	1.3135e+01
7.1000e+01	2.0770e+03	1.6670e+03	7.3797e+04	3.4250e+03	1.3130e+01
7.2000e+01	1.3100e+03	2.6960e+03	7.4919e+04	3.4350e+03	1.3114e+01
7.3000e+01	2.3380e+03	3.0700e+03	1.2651e+05	3.4230e+03	1.2545e+01
7.4000e+01	2.0090e+03	2.5870e+03	6.4144e+04	3.4240e+03	1.3282e+01
7.5000e+01	2.0990e+03	7.4800e+02	1.8444e+05	3.4160e+03	1.2135e+01
7.6000e+01	2.1390e+03	9.5600e+02	7.4051e+04	3.4130e+03	1.3126e+01
7.7000e+01	2.1140e+03	2.5570e+03	7.9986e+04	3.4180e+03	1.3042e+01
7.8000e+01	2.1060e+03	4.3630e+03	1.1130e+05	3.4240e+03	1.2684e+01
7.9000e+01	8.5200e+02	1.1640e+03	1.8626e+05	3.4240e+03	1.2125e+01
8.0000e+01	1.2370e+03	1.0640e+03	9.8868e+04	3.4210e+03	1.2812e+01
8.1000e+01	1.6320e+03	2.2230e+03	5.8437e+04	3.4230e+03	1.3383e+01
8.2000e+01	1.4010e+03	1.1440e+03	1.0907e+05	3.4230e+03	1.2706e+01
8.3000e+01	2.4900e+02	1.4020e+03	7.2556e+04	3.4210e+03	1.3148e+01
8.4000e+01	1.8700e+02	2.7100e+03	6.0196e+04	3.4230e+03	1.3351e+01
8.5000e+01	1.1180e+03	2.8300e+02	1.3530e+05	3.4310e+03	1.2472e+01
8.6000e+01	2.0520e+03	9.4000e+02	6.4700e+04	3.4140e+03	1.3273e+01
8.7000e+01	1.0670e+03	3.3910e+03	8.7122e+04	3.4430e+03	1.2950e+01
8.8000e+01	5.1300e+02	3.9050e+03	1.1490e+05	3.4310e+03	1.2649e+01
8.9000e+01	1.7140e+03	3.1900e+02	6.6833e+04	3.4150e+03	1.3238e+01
9.0000e+01	1.2480e+03	5.7400e+02	1.4180e+05	3.4330e+03	1.2421e+01
9.1000e+01	2.1390e+03	3.0610e+03	4.5202e+04	3.4230e+03	1.3662e+01
9.2000e+01	6.2700e+02	2.9400e+02	9.7572e+04	3.4310e+03	1.2827e+01
9.3000e+01	1.0240e+03	2.4100e+02	1.8232e+05	3.4270e+03	1.2148e+01
